review_id,product_id,user_id,rating,review_text,helpful_votes,verified_purchase,review_date
R0000086,P00416,U001341,5,Absolutely love this product! Highly recommend.,54,False,2023-12-23
R0000087,P00344,U000708,5,Absolutely love this product! Highly recommend.,78,False,2020-01-18
R0000088,P00210,U001157,4,"Good value for money, will recommend.",169,True,2020-06-11
R0000089,P00168,U000421,4,"High quality, just as expected.",154,False,2023-02-27
R0000090,P00468,U000922,5,Perfect quality and fast shipping.,107,True,2021-07-01
R0000091,P00048,U000691,5,"Fantastic product, exactly as described.",132,True,2021-04-10
R0000092,P00428,U001171,3,Neither great nor terrible. Fair price.,12,True,2022-02-18
R0000093,P00209,U000370,4,"High quality, just as expected.",169,True,2019-07-04
R0000094,P00438,U001179,4,"Really good product, minor packaging issue.",224,False,2021-01-10
R0000095,P00399,U001519,3,"It's okay, expected a bit more.",132,True,2020-07-31
R0000096,P00036,U001429,5,Best purchase I've made in years.,241,True,2021-09-25
R0000097,P00409,U000037,4,"Works great, delivery was slightly delayed.",188,True,2019-05-11
R0000098,P00324,U000049,5,Exceeded all my expectations. Would buy again.,97,True,2019-12-31
R0000099,P00207,U000940,3,"Works fine, instructions could be clearer.",109,False,2023-02-27
R0000100,P00393,U000149,4,"Really good product, minor packaging issue.",7,True,2022-12-10
R0000101,P00364,U000816,3,Decent product but nothing spectacular.,33,True,2019-04-15
R0000102,P00310,U000366,5,Best purchase I've made in years.,51,True,2024-05-07
R0000103,P00382,U001807,5,Best purchase I've made in years.,173,True,2019-09-09
R0000104,P00067,U000625,4,"High quality, just as expected.",223,True,2023-05-18
R0000105,P00143,U000271,2,Disappointed with the build quality.,102,True,2022-09-09
R0000106,P00139,U001907,3,"Works fine, instructions could be clearer.",90,True,2024-03-18
R0000107,P00045,U000502,4,"Really good product, minor packaging issue.",26,False,2022-03-27
R0000108,P00356,U000151,5,"Fantastic product, exactly as described.",235,True,2022-09-28
R0000109,P00196,U000369,4,"Really good product, minor packaging issue.",63,False,2021-04-01
R0000110,P00493,U000446,5,Absolutely love this product! Highly recommend.,126,False,2024-05-09
R0000111,P00411,U000393,5,"Fantastic product, exactly as described.",37,False,2024-01-23
R0000112,P00369,U000843,4,Very happy with the purchase overall.,128,True,2020-02-18
R0000113,P00024,U000196,1,Very disappointing. Does not match description.,176,True,2021-08-15
R0000114,P00130,U001660,3,"Works fine, instructions could be clearer.",65,True,2024-08-29
R0000115,P00141,U001291,4,"Really good product, minor packaging issue.",109,True,2020-05-18
R0000116,P00182,U000096,5,Perfect quality and fast shipping.,32,True,2024-05-03
R0000117,P00117,U000512,4,"High quality, just as expected.",31,True,2023-11-17
R0000118,P00418,U000681,4,"Works great, delivery was slightly delayed.",42,False,2021-01-17
R0000119,P00024,U000979,3,Neither great nor terrible. Fair price.,164,True,2025-02-04
R0000120,P00048,U000623,5,Best purchase I've made in years.,36,True,2020-12-07
R0000121,P00263,U000789,4,"Really good product, minor packaging issue.",39,True,2022-04-25
R0000122,P00118,U001166,5,Exceeded all my expectations. Would buy again.,13,True,2021-07-27
R0000123,P00240,U001324,2,Would not buy this again.,48,True,2024-09-15
R0000124,P00058,U001249,5,Exceeded all my expectations. Would buy again.,21,True,2024-10-30
R0000125,P00294,U001865,5,Perfect quality and fast shipping.,100,True,2020-08-01
R0000126,P00301,U001272,4,"Good value for money, will recommend.",131,False,2020-02-01
R0000127,P00251,U000222,3,"Works fine, instructions could be clearer.",132,True,2019-02-21
R0000128,P00440,U000704,5,"Fantastic product, exactly as described.",34,False,2022-10-07
R0000129,P00385,U000403,5,Absolutely love this product! Highly recommend.,245,True,2024-11-22
R0000130,P00367,U001509,5,Absolutely love this product! Highly recommend.,197,False,2023-10-16
R0000131,P00109,U001131,2,Customer service was unhelpful.,139,True,2024-06-09
R0000132,P00350,U001656,5,"Fantastic product, exactly as described.",205,True,2020-08-13
R0000133,P00311,U001010,4,"High quality, just as expected.",169,True,2021-07-10
R0000134,P00296,U000188,5,Best purchase I've made in years.,54,True,2022-12-18
R0000135,P00424,U001146,5,"Fantastic product, exactly as described.",62,True,2021-05-27
R0000136,P00136,U000689,2,Customer service was unhelpful.,104,True,2022-03-23
R0000137,P00488,U000816,4,"High quality, just as expected.",140,True,2021-08-07
R0000138,P00203,U001522,4,"High quality, just as expected.",185,True,2025-02-05
R0000139,P00387,U001411,1,Worst product I've ever bought.,156,False,2020-03-22
R0000140,P00379,U001739,5,Best purchase I've made in years.,77,True,2019-06-01
R0000141,P00078,U000948,5,Exceeded all my expectations. Would buy again.,54,True,2020-07-15
R0000142,P00044,U000629,4,Very happy with the purchase overall.,169,True,2023-03-19
R0000143,P00157,U001357,4,"Works great, delivery was slightly delayed.",8,True,2024-05-30
R0000144,P00202,U001464,4,"High quality, just as expected.",106,True,2024-11-01
R0000145,P00293,U001244,5,Perfect quality and fast shipping.,171,True,2022-10-10
R0000146,P00099,U000962,5,Best purchase I've made in years.,4,True,2025-01-19
R0000147,P00140,U001028,4,Very happy with the purchase overall.,113,True,2020-09-13
R0000148,P00450,U001157,5,Absolutely love this product! Highly recommend.,230,True,2020-07-09
R0000149,P00168,U001836,5,"Fantastic product, exactly as described.",86,True,2022-07-03
R0000150,P00197,U001695,4,"Really good product, minor packaging issue.",250,True,2024-10-20
R0000151,P00179,U001008,2,Customer service was unhelpful.,127,True,2020-09-04
R0000152,P00054,U001327,4,"Good value for money, will recommend.",229,True,2024-04-08
R0000153,P00156,U000768,3,Decent product but nothing spectacular.,171,True,2022-09-05
R0000154,P00408,U001488,5,"Fantastic product, exactly as described.",33,True,2023-08-26
R0000155,P00174,U001065,2,Would not buy this again.,182,True,2023-11-28
R0000156,P00070,U001428,5,Exceeded all my expectations. Would buy again.,170,True,2021-05-10
R0000157,P00433,U001747,5,"Fantastic product, exactly as described.",191,True,2019-07-28
R0000158,P00245,U001707,3,Decent product but nothing spectacular.,92,True,2019-04-03
R0000159,P00086,U000334,5,Absolutely love this product! Highly recommend.,120,True,2021-05-31
R0000160,P00086,U000801,5,Exceeded all my expectations. Would buy again.,227,False,2022-09-19
R0000161,P00418,U000934,3,Average quality. Does the job.,139,False,2020-02-06
R0000162,P00131,U001385,4,Very happy with the purchase overall.,194,True,2023-02-13
R0000163,P00481,U000939,5,Exceeded all my expectations. Would buy again.,187,True,2023-02-17
R0000164,P00472,U000877,1,"Terrible quality, stopped working in a week.",11,True,2020-09-18
R0000165,P00397,U000922,4,"Really good product, minor packaging issue.",224,True,2023-05-16
R0000166,P00422,U001182,5,Best purchase I've made in years.,154,True,2020-11-13
R0000167,P00345,U000994,5,Perfect quality and fast shipping.,243,True,2019-08-11
R0000168,P00467,U001807,2,Would not buy this again.,116,True,2023-09-06
R0000169,P00062,U001912,3,Average quality. Does the job.,132,False,2020-11-03
R0000170,P00465,U001396,2,Not what I expected. Quality is lacking.,123,False,2024-07-17
R0000171,P00361,U001412,2,Would not buy this again.,172,True,2019-11-07
R0000172,P00386,U001978,5,Best purchase I've made in years.,106,True,2021-12-23
R0000173,P00009,U000549,3,"Works fine, instructions could be clearer.",246,True,2023-02-01
R0000174,P00497,U000920,5,"Fantastic product, exactly as described.",223,True,2023-10-08
R0000175,P00171,U000515,5,"Fantastic product, exactly as described.",118,False,2022-05-12
R0000176,P00107,U001840,5,Exceeded all my expectations. Would buy again.,13,True,2020-02-15
R0000177,P00115,U001124,5,Perfect quality and fast shipping.,228,False,2024-03-15
R0000178,P00249,U000883,4,Very happy with the purchase overall.,131,True,2022-08-17
R0000179,P00228,U001858,5,Exceeded all my expectations. Would buy again.,172,False,2021-03-11
R0000180,P00046,U000278,3,Average quality. Does the job.,41,True,2021-01-28
R0000181,P00006,U001148,4,"High quality, just as expected.",143,True,2019-09-11
R0000182,P00158,U000565,5,Absolutely love this product! Highly recommend.,79,True,2020-09-13
R0000183,P00100,U001558,5,Best purchase I've made in years.,128,False,2023-01-11
R0000184,P00097,U000803,3,"It's okay, expected a bit more.",83,False,2021-12-20
R0000185,P00373,U000650,4,"Good value for money, will recommend.",180,True,2023-09-10
R0000186,P00430,U001177,4,"Works great, delivery was slightly delayed.",3,True,2023-08-15
R0000187,P00211,U000841,4,"Good value for money, will recommend.",202,True,2023-04-30
R0000188,P00205,U000015,4,Very happy with the purchase overall.,2,False,2019-03-15
R0000189,P00126,U000959,5,Exceeded all my expectations. Would buy again.,79,False,2019-03-28
R0000190,P00375,U001543,5,Absolutely love this product! Highly recommend.,224,True,2024-05-12
R0000191,P00138,U001229,5,"Fantastic product, exactly as described.",70,False,2020-03-06
R0000192,P00120,U001954,4,Very happy with the purchase overall.,25,True,2019-06-21
R0000193,P00339,U001646,3,Average quality. Does the job.,221,True,2023-01-11
R0000194,P00404,U001082,3,"It's okay, expected a bit more.",211,True,2020-06-15
R0000195,P00220,U000674,4,"Good value for money, will recommend.",101,False,2022-02-02
R0000196,P00301,U001417,4,Very happy with the purchase overall.,31,True,2022-06-28
R0000197,P00121,U000773,4,Very happy with the purchase overall.,131,True,2022-09-10
R0000198,P00231,U001564,4,Very happy with the purchase overall.,155,False,2021-10-13
R0000199,P00329,U000590,2,Not what I expected. Quality is lacking.,147,True,2022-03-13
R0000200,P00044,U000789,5,Best purchase I've made in years.,89,True,2022-03-22
R0000201,P00338,U000828,3,Average quality. Does the job.,111,True,2024-05-20
R0000202,P00479,U001189,4,Very happy with the purchase overall.,174,False,2019-08-07
R0000203,P00381,U000268,4,"Really good product, minor packaging issue.",240,True,2025-01-13
R0000204,P00164,U001612,5,Perfect quality and fast shipping.,220,False,2019-01-05
R0000205,P00384,U001536,1,Worst product I've ever bought.,198,True,2019-11-22
R0000206,P00321,U000437,5,Best purchase I've made in years.,76,True,2022-06-19
R0000207,P00107,U001506,5,Exceeded all my expectations. Would buy again.,189,True,2020-03-09
R0000208,P00083,U000998,4,Very happy with the purchase overall.,189,True,2022-09-18
R0000209,P00043,U001695,4,"Really good product, minor packaging issue.",130,True,2023-11-03
R0000210,P00002,U000608,5,Absolutely love this product! Highly recommend.,90,True,2022-05-31
R0000211,P00433,U001042,1,Returning immediately. Not as advertised.,45,False,2024-05-07
R0000212,P00396,U000162,5,Absolutely love this product! Highly recommend.,53,True,2019-07-21
R0000213,P00376,U000681,5,Best purchase I've made in years.,21,True,2022-02-18
R0000214,P00395,U001867,5,Best purchase I've made in years.,49,False,2023-09-16
R0000215,P00295,U001859,4,"Really good product, minor packaging issue.",86,True,2024-06-17
R0000216,P00312,U000976,4,"Good value for money, will recommend.",7,True,2020-12-28
R0000217,P00321,U001165,3,"It's okay, expected a bit more.",116,False,2020-06-02
R0000218,P00043,U000951,4,Very happy with the purchase overall.,120,True,2019-03-31
R0000219,P00105,U000347,3,Neither great nor terrible. Fair price.,149,True,2025-01-08
R0000220,P00499,U000227,5,"Fantastic product, exactly as described.",245,False,2019-10-21
R0000221,P00117,U000782,2,Would not buy this again.,89,True,2021-02-04
R0000222,P00440,U000922,5,Perfect quality and fast shipping.,130,False,2020-04-23
R0000223,P00442,U001831,4,"Really good product, minor packaging issue.",77,True,2022-08-02
R0000224,P00132,U000223,4,"Good value for money, will recommend.",142,False,2019-12-07
R0000225,P00155,U000379,2,Had issues with the product on arrival.,92,False,2023-03-01
R0000226,P00450,U001018,4,"Really good product, minor packaging issue.",24,True,2022-07-05
R0000227,P00154,U000198,3,"Works fine, instructions could be clearer.",12,True,2022-02-13
R0000228,P00210,U001033,5,Best purchase I've made in years.,85,False,2021-08-31
R0000229,P00193,U000906,4,"Really good product, minor packaging issue.",235,True,2022-06-25
R0000230,P00120,U000623,3,"It's okay, expected a bit more.",130,False,2021-04-10
R0000231,P00367,U001580,5,Exceeded all my expectations. Would buy again.,190,True,2019-03-27
R0000232,P00416,U001171,5,Best purchase I've made in years.,125,True,2019-02-22
R0000233,P00269,U001156,5,"Fantastic product, exactly as described.",50,True,2020-08-21
R0000234,P00336,U001611,5,Exceeded all my expectations. Would buy again.,131,False,2024-08-13
R0000235,P00214,U000325,2,Had issues with the product on arrival.,149,False,2024-05-03
R0000236,P00272,U000929,3,Average quality. Does the job.,114,True,2023-04-23
R0000237,P00064,U001990,5,Best purchase I've made in years.,57,True,2020-09-19
R0000238,P00133,U000508,1,Very disappointing. Does not match description.,62,False,2023-01-22
R0000239,P00482,U000390,5,Absolutely love this product! Highly recommend.,223,True,2024-07-11
R0000240,P00116,U000005,4,"High quality, just as expected.",242,True,2022-06-13
R0000241,P00305,U001032,1,Very disappointing. Does not match description.,128,True,2019-11-21
R0000242,P00123,U000207,5,Best purchase I've made in years.,219,True,2022-06-10
R0000243,P00211,U001377,3,"Works fine, instructions could be clearer.",51,True,2021-06-26
R0000244,P00150,U001790,5,Absolutely love this product! Highly recommend.,151,True,2021-02-04
R0000245,P00411,U001765,4,"Really good product, minor packaging issue.",233,True,2020-02-16
R0000246,P00213,U000961,4,"Really good product, minor packaging issue.",8,True,2024-06-09
R0000247,P00150,U001691,1,Worst product I've ever bought.,183,True,2020-10-06
R0000248,P00458,U001927,5,Best purchase I've made in years.,7,False,2024-04-07
R0000249,P00137,U001473,4,Very happy with the purchase overall.,19,True,2022-03-20
R0000250,P00005,U000889,5,Absolutely love this product! Highly recommend.,144,True,2024-04-16
R0000251,P00315,U001075,3,Decent product but nothing spectacular.,4,True,2023-10-07
R0000252,P00008,U000173,3,Average quality. Does the job.,217,False,2019-07-17
R0000253,P00026,U001148,3,Neither great nor terrible. Fair price.,174,True,2023-10-02
R0000254,P00210,U000352,5,Best purchase I've made in years.,155,True,2024-05-28
R0000255,P00085,U000366,2,Not what I expected. Quality is lacking.,102,True,2024-06-08
R0000256,P00478,U001109,4,Very happy with the purchase overall.,49,True,2020-11-20
R0000257,P00306,U001553,3,"It's okay, expected a bit more.",186,True,2023-01-20
R0000258,P00450,U001654,4,"Works great, delivery was slightly delayed.",101,True,2021-07-18
R0000259,P00051,U001131,5,Exceeded all my expectations. Would buy again.,198,False,2024-03-23
R0000260,P00458,U001590,5,Exceeded all my expectations. Would buy again.,177,True,2019-12-20
R0000261,P00296,U000405,4,Very happy with the purchase overall.,140,True,2024-02-28
R0000262,P00019,U001579,3,Average quality. Does the job.,62,False,2024-09-30
R0000263,P00233,U001489,5,Perfect quality and fast shipping.,39,True,2021-03-22
R0000264,P00129,U001604,5,"Fantastic product, exactly as described.",35,True,2024-08-28
R0000265,P00178,U000774,5,Perfect quality and fast shipping.,30,True,2023-05-17
R0000266,P00420,U000602,5,"Fantastic product, exactly as described.",225,False,2019-03-24
R0000267,P00302,U001314,5,Absolutely love this product! Highly recommend.,189,False,2023-04-11
R0000268,P00021,U000199,5,Exceeded all my expectations. Would buy again.,134,False,2024-01-08
R0000269,P00019,U000940,2,Not what I expected. Quality is lacking.,165,False,2021-03-01
R0000270,P00473,U001094,3,"It's okay, expected a bit more.",226,False,2023-09-15
R0000271,P00019,U001814,2,Not what I expected. Quality is lacking.,216,True,2019-01-14
R0000272,P00450,U001656,1,Very disappointing. Does not match description.,125,True,2024-10-28
R0000273,P00388,U001342,4,"Works great, delivery was slightly delayed.",233,True,2023-11-14
R0000274,P00304,U001320,4,Very happy with the purchase overall.,101,True,2019-05-05
R0000275,P00093,U000359,4,"Works great, delivery was slightly delayed.",219,True,2024-12-20
R0000276,P00145,U000079,3,"It's okay, expected a bit more.",138,False,2021-07-11
R0000277,P00249,U001450,3,Average quality. Does the job.,120,True,2025-01-13
R0000278,P00163,U000129,3,Decent product but nothing spectacular.,214,False,2024-10-24
R0000279,P00054,U001603,3,"Works fine, instructions could be clearer.",176,True,2022-02-07
R0000280,P00392,U000166,1,Returning immediately. Not as advertised.,207,True,2024-02-04
R0000281,P00146,U001489,4,"Works great, delivery was slightly delayed.",101,True,2025-01-09
R0000282,P00200,U000227,2,Disappointed with the build quality.,236,True,2022-10-08
R0000283,P00344,U000417,1,"Terrible quality, stopped working in a week.",114,True,2024-02-03
R0000284,P00431,U000554,4,Very happy with the purchase overall.,124,True,2019-06-12
R0000285,P00127,U001810,4,"Good value for money, will recommend.",43,False,2023-12-28
R0000286,P00279,U001416,5,"Fantastic product, exactly as described.",77,True,2020-02-14
R0000287,P00450,U000847,5,"Fantastic product, exactly as described.",148,True,2021-05-11
R0000288,P00063,U000421,5,Perfect quality and fast shipping.,235,False,2023-03-13
R0000289,P00417,U001307,5,Best purchase I've made in years.,48,True,2021-03-10
R0000290,P00380,U000167,2,Would not buy this again.,123,True,2019-07-28
R0000291,P00084,U001396,2,Not what I expected. Quality is lacking.,191,False,2021-09-15
R0000292,P00472,U001143,4,"Works great, delivery was slightly delayed.",189,True,2023-03-28
R0000293,P00075,U001258,5,Exceeded all my expectations. Would buy again.,174,False,2021-05-06
R0000294,P00446,U000981,5,Best purchase I've made in years.,98,True,2021-03-02
R0000295,P00007,U000133,4,"Really good product, minor packaging issue.",203,True,2021-02-01
R0000296,P00016,U001271,1,Returning immediately. Not as advertised.,95,True,2020-08-08
R0000297,P00322,U000235,5,Best purchase I've made in years.,67,True,2022-10-26
R0000298,P00380,U000197,5,Best purchase I've made in years.,236,True,2023-10-20
R0000299,P00030,U000578,4,"Really good product, minor packaging issue.",244,True,2020-02-09
R0000300,P00241,U000540,4,"Good value for money, will recommend.",17,True,2020-02-05
R0000301,P00450,U000624,5,"Fantastic product, exactly as described.",107,False,2023-02-17
R0000302,P00366,U000888,5,Exceeded all my expectations. Would buy again.,198,True,2021-08-02
R0000303,P00237,U000644,2,Disappointed with the build quality.,41,True,2024-11-06
R0000304,P00333,U001994,5,Perfect quality and fast shipping.,106,True,2023-09-21
R0000305,P00140,U000414,5,Absolutely love this product! Highly recommend.,56,False,2021-01-11
R0000306,P00006,U001330,4,"Works great, delivery was slightly delayed.",27,True,2020-04-19
R0000307,P00174,U000062,4,"Works great, delivery was slightly delayed.",109,True,2022-04-10
R0000308,P00457,U000834,5,Absolutely love this product! Highly recommend.,138,True,2020-10-28
R0000309,P00083,U000323,5,"Fantastic product, exactly as described.",91,True,2022-10-30
R0000310,P00056,U000076,3,Decent product but nothing spectacular.,115,True,2020-01-27
R0000311,P00484,U001973,4,Very happy with the purchase overall.,125,True,2020-04-13
R0000312,P00305,U001667,2,Not what I expected. Quality is lacking.,107,True,2024-10-14
R0000313,P00476,U000671,4,"Really good product, minor packaging issue.",53,True,2022-06-08
R0000314,P00305,U001966,3,"It's okay, expected a bit more.",242,True,2022-09-20
R0000315,P00167,U001884,4,"High quality, just as expected.",124,True,2019-02-18
R0000316,P00268,U001896,4,"High quality, just as expected.",20,False,2023-03-30
R0000317,P00248,U000805,4,"Really good product, minor packaging issue.",49,True,2024-02-22
R0000318,P00228,U000393,5,Exceeded all my expectations. Would buy again.,34,False,2020-10-10
R0000319,P00399,U000320,3,Decent product but nothing spectacular.,188,True,2021-06-12
R0000320,P00151,U001418,5,Perfect quality and fast shipping.,62,True,2021-07-18
R0000321,P00071,U001058,1,Returning immediately. Not as advertised.,51,True,2021-01-27
R0000322,P00196,U001124,4,"Works great, delivery was slightly delayed.",135,False,2024-10-05
R0000323,P00396,U000005,5,Exceeded all my expectations. Would buy again.,204,True,2023-01-11
R0000324,P00374,U000334,5,Perfect quality and fast shipping.,17,True,2019-05-10
R0000325,P00022,U001936,3,Decent product but nothing spectacular.,99,True,2023-04-08
R0000326,P00244,U000556,5,Absolutely love this product! Highly recommend.,162,True,2024-12-30
R0000327,P00272,U001774,5,Perfect quality and fast shipping.,243,True,2021-06-04
R0000328,P00381,U001446,4,"Really good product, minor packaging issue.",143,True,2022-03-30
R0000329,P00438,U001460,3,"It's okay, expected a bit more.",74,True,2023-04-06
R0000330,P00011,U000600,4,Very happy with the purchase overall.,19,True,2025-02-11
R0000331,P00179,U000979,5,Perfect quality and fast shipping.,109,True,2022-05-29
R0000332,P00419,U001060,1,"Terrible quality, stopped working in a week.",60,True,2023-06-06
R0000333,P00193,U001795,4,"High quality, just as expected.",154,True,2019-01-02
R0000334,P00419,U000398,3,"Works fine, instructions could be clearer.",81,True,2020-09-13
R0000335,P00163,U001183,5,Best purchase I've made in years.,140,True,2019-08-23
R0000336,P00027,U001913,4,"Really good product, minor packaging issue.",81,True,2024-11-15
R0000337,P00023,U000878,5,Exceeded all my expectations. Would buy again.,96,True,2021-11-24
R0000338,P00087,U000839,3,"Works fine, instructions could be clearer.",81,True,2019-06-10
R0000339,P00163,U001320,5,Best purchase I've made in years.,52,True,2020-12-11
R0000340,P00414,U000600,5,Exceeded all my expectations. Would buy again.,46,False,2020-10-15
R0000341,P00496,U001416,2,Not what I expected. Quality is lacking.,65,True,2019-01-08
R0000342,P00131,U001957,5,"Fantastic product, exactly as described.",80,True,2024-07-24
R0000343,P00014,U001113,3,"Works fine, instructions could be clearer.",193,False,2023-04-14
R0000344,P00479,U001474,5,Exceeded all my expectations. Would buy again.,146,True,2019-05-08
R0000345,P00445,U000450,5,Exceeded all my expectations. Would buy again.,97,True,2020-10-31
