order_id,user_id,order_date,product_ids,num_items,order_total,payment_method,status,delivery_days
O0000023,U000291,2022-10-19 15:27:19,P00041×3|P00189×3|P00374×2|P00282×2,4,7882.84,Google Pay,Delivered,6
O0000024,U001671,2023-04-20 11:45:51,P00144×3|P00379×4|P00459×1|P00091×1|P00222×4,5,11706.7,PayPal,Processing,
O0000025,U000398,2024-07-06 14:11:33,P00084×1|P00446×5,2,3075.09,Bank Transfer,Cancelled,
O0000026,U000842,2020-04-03 12:57:06,P00449×4|P00380×4|P00421×2,3,8789.1,Apple Pay,Delivered,10
O0000027,U000881,2022-06-17 16:33:22,P00166×1,1,482.57,Apple Pay,Delivered,2
O0000028,U000571,2024-05-09 03:59:32,P00331×2|P00424×4|P00024×5|P00474×1,4,5661.04,Gift Card,Shipped,1
O0000029,U001900,2019-05-22 18:26:26,P00167×4|P00333×2|P00266×2|P00338×1,4,3273.72,Debit Card,Delivered,5
O0000030,U000382,2020-08-28 10:22:41,P00340×5,1,1416.15,Credit Card,Delivered,5
O0000031,U000465,2020-11-07 02:40:32,P00355×1|P00406×4|P00064×2|P00394×1|P00471×2,5,5989.09,Google Pay,Processing,
O0000032,U000250,2021-12-10 13:25:50,P00319×5,1,2414.7,Debit Card,Delivered,13
O0000033,U000801,2019-03-25 05:31:53,P00370×5,1,1370.3,Debit Card,Shipped,12
O0000034,U001293,2025-02-12 06:42:12,P00402×3|P00127×2|P00177×2|P00066×2,4,6216.3,Google Pay,Delivered,3
O0000035,U000309,2022-10-07 09:39:10,P00395×2|P00418×5,2,2801.52,Google Pay,Delivered,10
O0000036,U001246,2022-02-03 15:16:40,P00148×2,1,842.48,Bank Transfer,Cancelled,
O0000037,U001602,2020-12-05 03:17:33,P00067×5,1,3697.25,Credit Card,Delivered,6
O0000038,U001991,2019-10-12 17:01:37,P00204×4,1,292.6,Google Pay,Cancelled,
O0000039,U000094,2023-03-27 17:12:31,P00200×5|P00311×2,2,4358.43,Credit Card,Processing,
O0000040,U001700,2023-03-07 16:51:29,P00196×1|P00020×3|P00051×5|P00008×2,4,8812.62,Apple Pay,Delivered,9
O0000041,U001389,2025-01-02 17:39:41,P00493×4|P00094×4,2,5601.08,Gift Card,Delivered,12
O0000042,U001561,2021-03-13 10:03:20,P00441×2,1,75.9,Apple Pay,Processing,
O0000043,U000665,2020-02-12 01:52:03,P00135×2,1,89.84,Debit Card,Delivered,3
O0000044,U001951,2023-04-29 09:56:25,P00365×5,1,1193.65,Credit Card,Delivered,5
O0000045,U000520,2023-10-25 17:30:05,P00178×2|P00287×2|P00344×3|P00440×4|P00380×1,5,6860.39,Gift Card,Delivered,7
O0000046,U000375,2022-02-28 11:48:19,P00317×2|P00173×4|P00109×2,3,5748.52,Apple Pay,Shipped,2
O0000047,U001752,2021-04-23 16:41:05,P00273×4|P00029×3,2,4828.1,Gift Card,Delivered,2
O0000048,U001696,2024-09-09 12:26:00,P00249×5,1,5424.35,Gift Card,Delivered,5
O0000049,U001582,2021-10-03 12:07:27,P00288×1,1,105.31,Bank Transfer,Delivered,4
O0000050,U001587,2024-08-15 23:04:25,P00206×3,1,1396.98,Gift Card,Delivered,11
O0000051,U000818,2025-02-15 06:11:02,P00425×4,1,4566.6,PayPal,Delivered,2
O0000052,U000643,2022-01-28 05:47:21,P00405×1|P00244×2|P00024×1,3,1680.12,Google Pay,Delivered,6
O0000053,U000178,2021-04-11 14:46:56,P00369×3,1,3062.64,Google Pay,Delivered,6
O0000054,U000878,2024-09-14 05:59:17,P00292×4,1,1420.36,Bank Transfer,Delivered,10
O0000055,U000434,2023-03-24 00:59:39,P00231×1|P00281×4,2,2964.64,Debit Card,Delivered,13
O0000056,U000002,2022-09-12 05:53:06,P00010×1|P00130×1|P00087×5,3,7144.25,Bank Transfer,Returned,14
O0000057,U001336,2024-08-17 14:53:12,P00070×1|P00374×2,2,1214.97,PayPal,Delivered,10
O0000058,U000499,2024-04-11 05:14:00,P00221×5|P00464×4|P00485×4,3,11088.16,Google Pay,Delivered,1
O0000059,U001160,2023-03-05 02:01:16,P00243×1|P00111×5|P00038×2|P00085×2|P00219×4,5,13338.09,Debit Card,Cancelled,
O0000060,U001336,2019-03-29 23:34:15,P00392×5,1,3586.25,PayPal,Delivered,9
O0000061,U001096,2022-07-30 00:03:35,P00333×2|P00279×5,2,7629.98,Gift Card,Delivered,12
O0000062,U001420,2024-02-16 06:26:52,P00060×4,1,1407.68,Gift Card,Delivered,6
O0000063,U000633,2023-05-12 06:20:11,P00489×5,1,3021.1,Gift Card,Shipped,11
O0000064,U000686,2020-03-25 15:58:45,P00064×5,1,5222.35,Credit Card,Delivered,2
O0000065,U000721,2022-03-20 19:51:30,P00397×5|P00179×4|P00249×3,3,8811.68,PayPal,Delivered,8
O0000066,U000015,2023-10-10 18:45:29,P00001×3|P00072×5|P00216×4,3,5898.59,PayPal,Delivered,8
O0000067,U000822,2024-01-17 15:41:12,P00230×1,1,426.53,PayPal,Delivered,7
O0000068,U001672,2021-12-15 19:51:27,P00456×3,1,3485.22,Credit Card,Delivered,14
O0000069,U000678,2021-01-28 21:38:17,P00209×2,1,2718.04,Bank Transfer,Delivered,8
O0000070,U000408,2022-04-14 15:15:46,P00379×4,1,2240.32,Google Pay,Returned,10
O0000071,U000382,2023-10-23 17:42:50,P00226×5|P00041×4|P00057×2|P00452×3|P00326×2,5,13181.25,Debit Card,Shipped,1
O0000072,U001423,2025-02-11 21:42:26,P00239×3,1,2452.83,PayPal,Delivered,2
O0000073,U000331,2024-09-26 08:29:08,P00237×2|P00212×1,2,2552.06,PayPal,Delivered,14
O0000074,U000644,2024-04-12 15:35:15,P00470×5|P00269×3,2,2765.9,Gift Card,Processing,
O0000075,U001253,2021-05-25 04:33:01,P00473×2,1,1834.76,Apple Pay,Delivered,5
O0000076,U001992,2021-06-26 17:01:11,P00135×3,1,134.76,PayPal,Shipped,13
O0000077,U000150,2022-05-13 20:15:09,P00157×5|P00314×2|P00063×5,3,6417.8,Google Pay,Delivered,4
O0000078,U001708,2023-12-02 18:36:49,P00440×5|P00133×3|P00142×4,3,6359.11,Debit Card,Delivered,5
O0000079,U000036,2024-08-04 10:00:14,P00347×2|P00429×2,2,3708.88,Debit Card,Shipped,1
O0000080,U001216,2020-02-03 15:01:02,P00216×2,1,1063.58,Apple Pay,Shipped,10
O0000081,U001371,2023-06-11 23:50:44,P00329×1|P00395×2|P00452×2,3,3502.23,PayPal,Delivered,2
O0000082,U001982,2023-11-10 01:21:51,P00458×2,1,133.88,Credit Card,Delivered,2
O0000083,U001763,2021-10-12 09:43:31,P00023×5|P00246×3,2,7159.44,Gift Card,Delivered,4
O0000084,U000588,2022-02-25 05:45:55,P00402×5|P00212×2,2,6067.26,Gift Card,Delivered,14
O0000085,U001593,2019-02-01 13:37:57,P00126×5,1,2185.3,PayPal,Delivered,7
O0000086,U001738,2019-07-19 02:46:10,P00476×2,1,2356.7,Google Pay,Delivered,10
O0000087,U000112,2022-01-10 08:14:44,P00073×1|P00460×2|P00378×4,3,1657.12,Gift Card,Delivered,6
O0000088,U001759,2023-07-01 19:34:36,P00183×2,1,702.1,Apple Pay,Shipped,6
O0000089,U001193,2023-01-04 10:39:01,P00347×4,1,2914.6,Google Pay,Returned,13
O0000090,U000162,2021-03-22 04:23:24,P00313×3|P00112×2|P00484×3|P00036×3,4,3090.13,Google Pay,Shipped,7
O0000091,U000795,2020-11-23 06:50:00,P00038×3,1,1636.2,Google Pay,Cancelled,
O0000092,U000099,2022-06-19 17:37:26,P00152×2|P00456×1|P00094×2|P00098×2,4,4990.56,Bank Transfer,Delivered,5
O0000093,U000937,2022-06-17 04:36:48,P00136×1,1,134.7,Credit Card,Delivered,5
O0000094,U000476,2022-07-15 11:44:11,P00366×4|P00297×5,2,3680.54,Bank Transfer,Delivered,14
O0000095,U000058,2024-07-15 23:24:25,P00406×2,1,1518.32,Bank Transfer,Delivered,10
O0000096,U001763,2023-12-15 23:19:17,P00386×1,1,1156.78,Debit Card,Returned,11
O0000097,U001358,2021-03-29 15:40:59,P00225×3|P00456×2|P00147×3|P00033×1|P00239×2,5,8813.69,Credit Card,Delivered,4
O0000098,U001099,2019-05-26 19:28:45,P00428×5|P00188×5|P00485×3,3,7850.92,Gift Card,Delivered,7
O0000099,U000801,2021-11-12 07:41:47,P00230×2,1,853.06,Gift Card,Shipped,4
O0000100,U000412,2024-04-21 11:37:06,P00079×2,1,938.8,Credit Card,Processing,
O0000101,U000034,2023-11-18 03:58:35,P00206×2,1,931.32,Debit Card,Returned,1
O0000102,U000471,2021-02-27 00:41:10,P00102×1,1,746.53,Apple Pay,Delivered,12
O0000103,U001418,2022-08-22 01:18:40,P00462×1,1,987.72,PayPal,Processing,
O0000104,U000897,2024-03-10 02:00:01,P00073×3|P00398×2|P00245×1|P00313×2,4,4643.74,Gift Card,Delivered,5
O0000105,U001315,2019-09-01 02:08:20,P00029×2,1,87.64,Debit Card,Cancelled,
O0000106,U001505,2023-02-24 00:47:39,P00395×2|P00133×3,2,3569.93,Credit Card,Delivered,12
O0000107,U001880,2022-11-25 08:42:30,P00068×5|P00024×1|P00066×1|P00277×4|P00152×2,5,7323.63,Gift Card,Delivered,3
O0000108,U001356,2022-03-05 19:15:24,P00150×4|P00027×3|P00452×5,3,8291.52,Gift Card,Delivered,8
O0000109,U001495,2023-01-19 18:32:13,P00053×4|P00426×3|P00470×3,3,4005.85,Bank Transfer,Shipped,7
O0000110,U000217,2020-07-22 04:16:39,P00427×4|P00308×3,2,2269.98,Credit Card,Cancelled,
O0000111,U001311,2022-10-01 05:26:22,P00275×4|P00447×2,2,3006.38,Bank Transfer,Delivered,6
O0000112,U001036,2024-02-04 09:33:21,P00033×3|P00093×4|P00080×4|P00163×5,4,5172.27,Google Pay,Delivered,5
O0000113,U001460,2020-04-03 01:23:28,P00260×2,1,1871.02,Apple Pay,Cancelled,
O0000114,U001285,2019-08-26 02:01:18,P00294×2,1,1053.0,Credit Card,Processing,
O0000115,U000174,2020-01-06 10:07:15,P00025×1,1,450.07,Google Pay,Delivered,4
O0000116,U001428,2023-09-14 11:40:29,P00353×5,1,5196.25,Bank Transfer,Delivered,1
O0000117,U001372,2019-06-03 17:46:32,P00500×3|P00461×1|P00038×2|P00233×5,4,9465.16,Apple Pay,Cancelled,
O0000118,U000310,2024-04-08 11:46:37,P00301×3,1,1462.35,Bank Transfer,Shipped,3
O0000119,U001226,2019-12-06 20:51:23,P00454×2,1,800.36,Debit Card,Delivered,3
O0000120,U001855,2021-03-01 18:55:15,P00199×4|P00384×2,2,3370.4,Google Pay,Delivered,3
O0000121,U000044,2020-04-09 22:58:31,P00149×2,1,2458.52,Apple Pay,Delivered,7
O0000122,U001391,2021-03-20 21:11:37,P00416×4,1,227.08,Bank Transfer,Delivered,14
O0000123,U001963,2019-01-05 16:25:26,P00100×2,1,2511.04,Gift Card,Shipped,4
O0000124,U002000,2022-10-07 18:56:56,P00155×1,1,135.81,Gift Card,Cancelled,
O0000125,U000625,2023-04-30 02:04:06,P00266×1|P00256×3,2,1792.96,PayPal,Delivered,8
O0000126,U000043,2024-03-22 03:56:54,P00006×5|P00441×3|P00192×1,3,6608.47,Gift Card,Shipped,10
O0000127,U001569,2023-03-24 14:43:02,P00098×2|P00404×4|P00350×4|P00230×2,4,4970.06,Bank Transfer,Delivered,3
O0000128,U001941,2021-04-12 16:05:04,P00380×4|P00163×3|P00213×2|P00120×2,4,8423.24,Apple Pay,Delivered,6
O0000129,U001162,2019-09-08 06:29:50,P00215×5,1,4073.15,PayPal,Cancelled,
O0000130,U000172,2020-02-20 18:26:02,P00310×5,1,158.0,PayPal,Delivered,12
O0000131,U001900,2021-06-07 01:35:29,P00304×4,1,2413.52,PayPal,Delivered,4
O0000132,U000087,2021-09-08 04:06:01,P00163×5,1,1073.4,Bank Transfer,Processing,
O0000133,U000824,2022-12-10 08:05:24,P00126×2,1,874.12,Gift Card,Shipped,11
O0000134,U000837,2025-02-23 09:53:56,P00319×2,1,965.88,Gift Card,Delivered,1
O0000135,U000884,2024-08-22 15:09:23,P00172×1,1,1405.06,Google Pay,Delivered,11
O0000136,U001370,2020-09-28 04:12:52,P00050×5|P00100×1,2,4199.72,Debit Card,Shipped,1
O0000137,U000559,2020-11-28 08:10:12,P00437×1|P00436×1,2,844.51,Debit Card,Shipped,3
O0000138,U001742,2020-06-21 04:02:32,P00487×3,1,2996.19,PayPal,Processing,
O0000139,U001048,2025-01-18 17:03:47,P00453×4|P00058×5,2,3075.82,Debit Card,Delivered,7
O0000140,U001098,2019-01-27 05:02:28,P00206×1|P00153×5,2,610.71,Google Pay,Delivered,6
O0000141,U000537,2021-08-18 23:22:08,P00030×2|P00200×1,2,1952.33,Gift Card,Returned,1
O0000142,U001628,2023-04-11 03:20:07,P00292×4,1,1420.36,Apple Pay,Cancelled,
O0000143,U001308,2021-09-01 13:33:18,P00126×4|P00426×4,2,2317.44,Gift Card,Delivered,5
O0000144,U001937,2020-01-04 22:47:15,P00384×2|P00160×2|P00397×3|P00382×2,4,7418.63,Bank Transfer,Delivered,2
O0000145,U001251,2022-09-16 23:22:05,P00477×1,1,936.91,Debit Card,Processing,
O0000146,U000396,2024-11-14 07:19:41,P00157×2,1,1839.16,PayPal,Delivered,10
O0000147,U000519,2019-12-17 08:35:02,P00408×5|P00498×5,2,8897.4,Apple Pay,Delivered,13
O0000148,U001766,2024-03-25 17:31:31,P00058×4|P00047×5|P00242×5,3,5200.53,Gift Card,Delivered,10
O0000149,U001256,2023-06-25 20:28:53,P00354×5,1,668.55,Debit Card,Delivered,12
O0000150,U000408,2019-03-03 20:01:49,P00282×4,1,5484.16,Apple Pay,Delivered,7
O0000151,U000043,2019-01-07 14:53:43,P00382×2|P00087×2|P00362×5,3,10612.22,PayPal,Delivered,6
O0000152,U000397,2019-10-27 09:12:34,P00097×1|P00447×3,2,2523.67,Bank Transfer,Delivered,13
O0000153,U000368,2023-07-03 23:24:38,P00454×1,1,400.18,Google Pay,Cancelled,
O0000154,U001916,2020-05-17 19:34:37,P00353×5,1,5196.25,Gift Card,Cancelled,
O0000155,U000351,2024-03-14 18:06:46,P00290×4|P00393×5,2,5698.57,Apple Pay,Delivered,12
O0000156,U000886,2022-09-17 01:31:54,P00235×2,1,595.68,Gift Card,Cancelled,
O0000157,U000364,2023-04-08 10:07:50,P00456×2|P00106×2|P00452×4,3,4850.34,Apple Pay,Shipped,7
O0000158,U001844,2019-12-21 07:47:25,P00259×4|P00173×2|P00326×4,3,6080.8,Google Pay,Cancelled,
O0000159,U000932,2023-09-12 11:17:10,P00223×1,1,487.31,Gift Card,Delivered,1
O0000160,U001994,2024-08-24 10:18:20,P00080×2,1,379.84,Debit Card,Delivered,4
O0000161,U001469,2023-08-07 11:23:33,P00051×2|P00345×3,2,4462.06,Bank Transfer,Processing,
O0000162,U001839,2024-02-08 09:42:06,P00378×5,1,94.8,Credit Card,Shipped,8
O0000163,U000667,2024-12-15 19:26:15,P00392×4|P00377×4|P00482×1,3,5043.09,Apple Pay,Delivered,11
O0000164,U000089,2025-02-25 09:00:35,P00323×2,1,1399.64,Google Pay,Delivered,1
O0000165,U001301,2024-07-25 11:52:52,P00276×1|P00268×5|P00052×2|P00439×4,4,6937.56,Debit Card,Processing,
O0000166,U001243,2019-12-29 19:39:52,P00210×1,1,357.42,Google Pay,Delivered,6
O0000167,U001987,2023-07-15 17:19:52,P00297×3|P00437×3,2,2724.33,Google Pay,Shipped,11
O0000168,U001019,2019-02-21 16:29:32,P00346×2,1,1227.08,Gift Card,Returned,12
O0000169,U000801,2022-05-25 10:31:09,P00357×2,1,2517.88,Gift Card,Delivered,10
O0000170,U001782,2019-10-20 16:07:12,P00425×2,1,2283.3,Apple Pay,Delivered,5
O0000171,U001264,2020-05-19 21:26:55,P00290×5|P00457×3,2,3703.04,Debit Card,Delivered,11
O0000172,U000892,2022-10-12 12:12:59,P00005×5|P00392×5,2,5965.45,Debit Card,Shipped,1
O0000173,U000912,2020-03-19 09:55:43,P00244×4,1,705.28,Apple Pay,Processing,
O0000174,U001209,2024-04-06 08:17:30,P00156×5|P00033×1|P00392×5|P00225×5|P00294×4,5,16683.52,Credit Card,Delivered,5
O0000175,U001405,2021-12-29 10:47:49,P00131×5|P00287×3,2,3962.47,Gift Card,Shipped,7
O0000176,U000565,2020-08-24 07:28:52,P00261×5,1,546.9,Gift Card,Processing,
O0000177,U001735,2022-12-06 12:26:53,P00211×4,1,3010.48,Gift Card,Delivered,9
O0000178,U001933,2023-12-12 17:38:40,P00106×1|P00205×4,2,4349.33,Google Pay,Delivered,5
O0000179,U001591,2021-06-20 01:08:32,P00015×5|P00136×2,2,5148.1,Gift Card,Delivered,11
O0000180,U001311,2019-01-31 19:08:57,P00202×1|P00449×1,2,1306.29,Debit Card,Delivered,3
O0000181,U000817,2019-05-02 10:21:11,P00235×5,1,1489.2,PayPal,Delivered,10
O0000182,U001847,2023-08-19 06:44:13,P00431×3,1,1675.95,Google Pay,Delivered,6
O0000183,U001066,2019-01-02 16:37:14,P00114×5,1,5727.0,Google Pay,Delivered,9
O0000184,U000390,2021-08-05 23:29:26,P00412×5|P00022×2|P00169×5|P00248×5,4,14146.49,Google Pay,Shipped,12
O0000185,U000971,2019-11-26 06:54:42,P00438×2,1,690.22,Apple Pay,Delivered,1
O0000186,U000306,2019-02-09 12:52:19,P00229×1|P00404×3|P00190×4|P00469×4,4,5581.35,Debit Card,Delivered,2
O0000187,U001213,2020-09-23 15:34:35,P00399×4|P00306×3|P00183×1|P00331×5,4,3595.83,PayPal,Delivered,5
O0000188,U001572,2023-08-09 22:53:57,P00423×4|P00225×4,2,5438.2,PayPal,Shipped,10
O0000189,U000107,2025-02-18 02:39:12,P00246×1|P00468×5,2,3790.73,Bank Transfer,Cancelled,
O0000190,U000967,2024-06-19 22:05:50,P00450×1,1,1151.04,Credit Card,Processing,
O0000191,U001293,2024-11-07 07:56:18,P00219×3|P00191×3|P00455×3,3,3218.34,Debit Card,Delivered,5
O0000192,U000270,2022-05-07 05:37:55,P00481×3|P00023×4,2,2442.57,Bank Transfer,Delivered,9
O0000193,U001849,2021-07-23 19:29:53,P00420×2|P00470×2|P00192×1|P00085×3,4,5260.72,Apple Pay,Cancelled,
O0000194,U001865,2022-09-17 04:31:53,P00306×3,1,2074.83,Debit Card,Cancelled,
O0000195,U001910,2020-07-26 09:41:29,P00092×1,1,1891.29,Debit Card,Cancelled,
O0000196,U001248,2020-10-31 09:28:41,P00121×3,1,4454.37,Bank Transfer,Cancelled,
O0000197,U000901,2023-02-01 13:14:36,P00133×5|P00256×3|P00158×3,3,5850.05,PayPal,Cancelled,
O0000198,U000763,2021-10-10 15:31:44,P00308×2|P00224×5,2,5566.8,Gift Card,Delivered,4
O0000199,U000641,2019-09-12 06:06:33,P00426×3,1,426.9,PayPal,Returned,12
O0000200,U000713,2024-12-19 12:52:56,P00086×1,1,763.28,Google Pay,Processing,
O0000201,U000007,2020-07-28 06:17:12,P00202×1|P00066×4|P00338×2,3,4697.46,Gift Card,Cancelled,
O0000202,U001891,2022-12-10 11:13:40,P00074×3|P00325×5|P00497×5,3,13346.42,Apple Pay,Delivered,12
O0000203,U000505,2025-01-22 05:49:16,P00285×3|P00165×2,2,1402.71,Google Pay,Shipped,3
O0000204,U001197,2021-12-11 20:09:38,P00088×3|P00349×1,2,3506.3,Gift Card,Delivered,7
O0000205,U000237,2022-10-25 20:01:46,P00168×1|P00251×5|P00189×1|P00315×3|P00044×3,5,5485.17,PayPal,Delivered,10
O0000206,U000190,2021-08-12 14:41:29,P00233×3,1,2682.78,Debit Card,Delivered,11
O0000207,U000440,2021-07-13 11:54:49,P00073×3,1,766.56,Google Pay,Delivered,2
O0000208,U001707,2023-12-09 19:15:15,P00237×5|P00061×4|P00183×2,3,8357.7,Gift Card,Delivered,5
O0000209,U000593,2021-11-01 17:52:19,P00309×5|P00105×1|P00019×2,3,5572.29,Google Pay,Delivered,4
O0000210,U000256,2019-08-02 06:44:29,P00216×5|P00043×5,2,7306.05,Debit Card,Shipped,3
O0000211,U000875,2020-06-27 23:06:10,P00263×1|P00243×3|P00260×2|P00274×4,4,9373.45,Google Pay,Processing,
O0000212,U001113,2023-09-20 20:45:35,P00005×1|P00147×3,2,2962.24,PayPal,Delivered,3
O0000213,U000251,2022-06-23 10:57:17,P00157×2,1,1839.16,Bank Transfer,Delivered,6
O0000214,U001493,2023-05-10 06:53:23,P00416×5,1,283.85,Google Pay,Delivered,14
O0000215,U000220,2023-01-26 05:34:03,P00352×4,1,1513.6,PayPal,Delivered,8
O0000216,U000180,2020-05-20 03:14:12,P00227×5|P00381×1|P00194×3,3,4926.64,Apple Pay,Delivered,4
O0000217,U000430,2023-11-24 07:13:57,P00070×4|P00301×3|P00310×3,3,3313.03,Apple Pay,Delivered,1
O0000218,U001249,2019-04-01 01:53:07,P00300×1|P00405×5,2,6768.8,Credit Card,Shipped,10
O0000219,U001135,2023-11-30 01:00:21,P00117×3,1,3050.13,Debit Card,Delivered,3
O0000220,U000195,2024-08-23 15:26:56,P00277×2|P00305×3|P00210×4,3,1709.6,PayPal,Delivered,5
O0000221,U001508,2024-09-12 14:13:12,P00398×5|P00265×3|P00153×4|P00318×2,4,11520.4,Apple Pay,Shipped,9
O0000222,U001866,2021-10-17 21:42:02,P00422×3|P00397×5|P00456×2|P00252×5,4,15750.93,Google Pay,Shipped,12
O0000223,U000228,2019-08-11 00:13:41,P00027×4|P00092×5|P00074×5,3,18806.33,Google Pay,Delivered,11
O0000224,U001838,2019-08-18 20:15:02,P00324×5|P00430×5,2,4795.4,PayPal,Processing,
O0000225,U000385,2022-11-04 20:37:02,P00465×1|P00441×3,2,1015.62,Apple Pay,Cancelled,
O0000226,U001538,2021-03-27 03:44:40,P00154×1|P00469×3,2,1240.8,Gift Card,Cancelled,
O0000227,U001628,2020-05-11 17:12:57,P00218×5|P00255×1|P00390×1|P00448×2,4,4543.41,Apple Pay,Delivered,12
O0000228,U000446,2023-04-12 01:48:24,P00108×5|P00271×1,2,4424.59,Apple Pay,Delivered,13
O0000229,U000168,2023-08-01 21:38:49,P00313×5|P00252×1,2,1409.07,PayPal,Delivered,14
O0000230,U000047,2025-02-15 09:11:11,P00317×2|P00337×1|P00470×4,3,4741.82,Gift Card,Delivered,8
O0000231,U001182,2020-04-04 05:17:08,P00162×4,1,2240.28,Apple Pay,Delivered,10
O0000232,U000426,2022-03-06 22:46:00,P00405×3,1,3477.84,Gift Card,Delivered,12
O0000233,U001034,2025-02-20 21:41:10,P00011×1|P00387×3,2,3132.8,Bank Transfer,Delivered,4
O0000234,U000260,2020-01-13 14:31:14,P00011×5|P00383×1,2,5523.73,Debit Card,Delivered,1
O0000235,U000510,2021-08-12 23:26:59,P00273×3|P00065×3|P00437×1|P00294×2|P00243×4,5,13246.14,Gift Card,Delivered,1
O0000236,U001176,2021-10-16 08:10:15,P00272×1,1,966.95,Gift Card,Processing,
O0000237,U001753,2021-05-30 12:21:44,P00063×3|P00022×2,2,1713.56,Debit Card,Delivered,12
O0000238,U000945,2021-12-02 10:39:05,P00036×5,1,797.6,Gift Card,Cancelled,
O0000239,U001017,2022-06-03 03:32:30,P00388×1,1,296.58,Apple Pay,Delivered,4
O0000240,U001414,2024-02-06 20:12:45,P00369×2,1,2041.76,Debit Card,Delivered,6
O0000241,U000496,2024-04-30 21:01:07,P00031×4|P00361×1|P00004×3,3,6252.48,PayPal,Delivered,11
O0000242,U001958,2021-02-04 06:13:27,P00341×4,1,1130.96,PayPal,Delivered,14
O0000243,U000770,2023-11-01 00:35:35,P00250×1,1,351.48,PayPal,Delivered,2
O0000244,U000778,2024-10-10 02:10:41,P00202×2,1,1104.2,Bank Transfer,Shipped,14
O0000245,U001041,2019-03-29 12:44:01,P00242×5|P00249×4|P00094×4|P00234×4,4,14376.71,Google Pay,Cancelled,
O0000246,U000010,2021-07-05 11:41:45,P00128×4,1,3945.88,Credit Card,Delivered,13
O0000247,U000523,2024-12-29 17:21:09,P00419×1,1,1119.69,Credit Card,Shipped,2
O0000248,U001277,2020-09-28 02:21:01,P00237×3|P00491×4|P00486×3|P00166×1|P00325×3,5,11003.98,Gift Card,Delivered,2
O0000249,U000077,2023-08-27 01:03:23,P00287×2,1,1384.88,Apple Pay,Delivered,1
O0000250,U000541,2020-10-09 21:10:12,P00215×5,1,4073.15,Gift Card,Delivered,14
O0000251,U000210,2024-10-02 14:26:28,P00133×5,1,2694.35,Credit Card,Delivered,13
O0000252,U001186,2020-10-18 20:12:56,P00163×4,1,858.72,Google Pay,Cancelled,
O0000253,U001178,2021-03-19 04:31:44,P00215×5|P00254×1|P00206×5,3,7935.59,Gift Card,Shipped,3
O0000254,U000355,2021-05-14 09:33:29,P00391×4|P00440×3,2,4008.98,Google Pay,Cancelled,
O0000255,U001785,2021-12-25 07:00:12,P00492×2,1,788.7,Bank Transfer,Delivered,14
O0000256,U001703,2022-11-10 12:25:20,P00276×1|P00384×4|P00458×3,3,1554.24,Apple Pay,Delivered,4
O0000257,U000044,2023-09-14 11:26:31,P00218×1|P00413×4,2,657.13,Credit Card,Returned,14
